YEAR,MOVIE,GENRE,MPAA RATING,DISTRIBUTOR,TOTAL FOR YEAR,TOTAL IN 2019 DOLLARS (in 100 millions),TICKETS SOLD
1995,Batman Forever,Drama,PG-13,Warner Bros.,"$184,031,112 ",387522978,"4,23,06,002"
1996,Independence Day,Adventure,PG-13,20th Century Fox,"$306,169,255 ",634504608,"6,92,69,062"
1997,Men in Black,Adventure,PG-13,Sony Pictures,"$250,650,052 ",500207943,"5,46,07,854"
1998,Titanic,Adventure,PG-13,Paramount Pictures,"$443,319,081 ",865842808,"9,45,24,324"
1999,Star Wars Ep. I: The Phantom Menace,Adventure,PG,20th Century Fox,"$430,443,350 ",776153749,"8,47,32,942"
2000,How the Grinch Stole Christmas,Adventure,PG,Universal,"$253,367,455 ",430583644,"4,70,06,948"
2001,Harry Potter and the Sorcerer’s Stone,Adventure,PG,Warner Bros.,"$300,404,434 ",486166890,"5,30,74,988"
2002,Spider-Man,Adventure,PG-13,Sony Pictures,"$403,706,375 ",636480273,"6,94,84,746"
2003,Finding Nemo,Adventure,G,Walt Disney,"$339,714,367 ",516050346,"5,63,37,374"
2004,Shrek 2,Adventure,PG,Dreamworks SKG,"$441,226,247 ",650826473,"7,10,50,925"
2005,Star Wars Ep. III: Revenge of the Sith,Action,PG-13,20th Century Fox,"$380,270,577 ",543413171,"5,93,24,582"
2006,Pirates of the Caribbean: Dead Man’s Chest,Action,PG-13,Walt Disney,"$423,315,812 ",591995851,"6,46,28,368"
2007,Spider-Man 3,Adventure,PG-13,Sony Pictures,"$336,530,303 ",448054878,"4,89,14,288"
2008,The Dark Knight,Adventure,PG-13,Warner Bros.,"$531,001,578 ",677433772,"7,39,55,652"
2009,Transformers: Revenge of the Fallen,Action,PG-13,Paramount Pictures,"$402,111,870 ",491112631,"5,36,14,916"
2010,Toy Story 3,Action,G,Walt Disney,"$415,004,880 ",481805411,"5,25,98,844"
2011,Harry Potter and the Deathly Hallows: Part II,Action,PG-13,Warner Bros.,"$381,011,219 ",440108798,"4,80,46,812"
2012,The Avengers,Adventure,PG-13,Walt Disney,"$623,357,910 ",717331462,"7,83,11,295"
2013,Iron Man 3,Adventure,PG-13,Walt Disney,"$408,992,272 ",460808016,"5,03,06,552"
2014,Guardians of the Galaxy,Adventure,PG-13,Walt Disney,"$333,055,258 ",373413235,"4,07,65,637"
2015,Star Wars Ep. VII: The Force Awakens,Action,PG-13,Walt Disney,"$742,208,942 ",806480887,"8,80,43,765"
2016,Finding Dory,Action,PG,Walt Disney,"$486,295,561 ",514967322,"5,62,19,140"
2017,Star Wars Ep. VIII: The Last Jedi,Action,PG-13,Walt Disney,"$517,218,368 ",528173936,"5,76,60,910"
2018,Black Panther,Action,PG-13,Walt Disney,"$700,059,566 ",703901821,"7,68,45,177"
2019,Avengers: Endgame,,PG-13,Walt Disney,"$858,373,000 ",858373002,"9,37,08,843"
2020,Bad Boys For Life,,R,Sony Pictures,"$204,417,855 ",204417848,"2,23,16,359"
2021,Shang-Chi and the Legend of the Ten Rings,,PG-13,Walt Disney,"$224,226,704 ",224226704,"2,44,78,897"
