RANK,DISTRIBUTORS,MOVIES,TOTAL GROSS,AVERAGE GROSS (IN 10 Million $),MARKET SHARE
1, Disney,588,"$40,472,424,278 ",68830654,17.02%
2,WB,824,"$36,269,425,479 ",44016293,15.25%
3,Sony,747,"$29,113,002,302 ",38973229,12.24%
4,Uni,535,"$28,089,932,569 ",52504547,11.81%
5,20th Century,525,"$25,857,839,756 ",49253028,10.88%
6,Paramount,493,"$24,361,425,304 ",49414656,10.25%
7,Lionsgate,426,"$9,631,837,781 ",22609948,4.05%
8,New Line,209,"$6,195,268,024 ",29642431,2.61%
9,Dreamworks,77,"$4,278,649,271 ",55566874,1.80%
10,Miramax,385,"$3,836,019,208 ",9963686,1.61%
